FUND,ISIN
AnotherFund,R15162I257F3
QuickCashStrategy,K5800649I110
YetAnotherFund,K5800649I110
BigEquityReturns,N3857R3SF67M
QuickCashStrategy,1O45388IS1PK
EuroSwaps,1O45388IS1PK
NiceGrowth,8IXV458U349W
EuroSwaps,16TQ033K1S83
BigEquityReturns,16TQ033K1S83
YetAnotherFund,H15EQ175D0H1
QuickCashStrategy,H15EQ175D0H1
BigEquityReturns,32941ZR68O64
NiceGrowth,32941ZR68O64
BigEquityReturns,713QQ521AK3I
NiceGrowth,CM99O969IL1A
YetAnotherFund,1922Z0O1H764
BigEquityReturns,1922Z0O1H764
EuroBonds,HS2YAEH30563
YetAnotherFund,HS2YAEH30563
NiceGrowth,9CET94Q42025
YetAnotherFund,1QE6F300TG84
YetAnotherFund,OP14212JB0UL
YetAnotherFund,XQ8PPI501Y7L
QuickCashStrategy,6NPT3K83K7G3
QuickCashStrategy,6YIM0GC35067
AnotherFund,6YIM0GC35067
QuickCashStrategy,78FZJ25E50V7
NiceGrowth,78FZJ25E50V7
QuickCashStrategy,OHJ39FCN53J5
NiceGrowth,OHJ39FCN53J5
QuickCashStrategy,6AALF75Q30F4
BigEquityReturns,6AALF75Q30F4
EuroBonds,WE6NU4P07292
YetAnotherFund,52P59P93L3DV
QuickCashStrategy,G6C6Q8YG6L56
BigEquityReturns,120FNP45MB17
QuickCashStrategy,120FNP45MB17
BigEquityReturns,6464895663C5
QuickCashStrategy,53017M08A8JO
NiceGrowth,53017M08A8JO
BigEquityReturns,Y0X33567584X
YetAnotherFund,Y0X33567584X
EuroSwaps,5031UO5GYJ91
NiceGrowth,HA6672D714P6
BigEquityReturns,HA6672D714P6
YetAnotherFund,4178RTPB84YZ
EuroSwaps,AB9480OK5A6S
NiceGrowth,55ZV7TITZ8Z1
QuickCashStrategy,55ZV7TITZ8Z1
BigEquityReturns,1LGAO96QNT88
EuroSwaps,R91868X08QY9
EuroSwaps,35293H783CU3
EuroSwaps,Q8X2H4T06B1H
AnotherFund,319S16290MK4
NiceGrowth,3WIPRE599E57
EuroBonds,3WIPRE599E57
QuickCashStrategy,A0P492YNF6O9
EuroBonds,W20MF0GB7029
EuroSwaps,W20MF0GB7029
EuroSwaps,7422Y968791X
NiceGrowth,7422Y968791X
NiceGrowth,M58766V15GJS
EuroBonds,M58766V15GJS
YetAnotherFund,09281N07232Z
QuickCashStrategy,66214L4H68R9
NiceGrowth,9R9Q39RVNZ95
EuroBonds,9R9Q39RVNZ95
EuroBonds,0Z96D7KE481D
EuroBonds,0G700U857XW5
EuroBonds,9M91KII5428N
YetAnotherFund,0G9IE8N58949
NiceGrowth,0G9IE8N58949
EuroBonds,155RXB8952K4
AnotherFund,3502757Z6M24
AnotherFund,8687EBA90UAD
EuroBonds,8687EBA90UAD
BigEquityReturns,767D39Q420R6
BigEquityReturns,46K36330H207
AnotherFund,89MD69380152
BigEquityReturns,89MD69380152
QuickCashStrategy,0666368855F3
EuroSwaps,5NU1076095U5
BigEquityReturns,5NU1076095U5
AnotherFund,T8D1EY2K8Z75
EuroBonds,5W4681J324S7
EuroBonds,T8EZ6X4CJ4RK
AnotherFund,T8EZ6X4CJ4RK
NiceGrowth,0X70Y56R2C1X
AnotherFund,12Z769H8EM1J
AnotherFund,C91373Y12E03
YetAnotherFund,SG0530746VU5
YetAnotherFund,74M0881WG202
BigEquityReturns,NJ5748A1I76V
QuickCashStrategy,NJ5748A1I76V
QuickCashStrategy,516W52NP7CH0
NiceGrowth,516W52NP7CH0
EuroBonds,362K18D27598
EuroSwaps,362K18D27598
EuroBonds,F02CA5R7O2V4
YetAnotherFund,94375Q9J32YX
QuickCashStrategy,114F819J1P0D
EuroSwaps,114F819J1P0D
BigEquityReturns,85V0JJNFN2VZ
QuickCashStrategy,F4676R15696A
NiceGrowth,AOOK6984855S
AnotherFund,AOOK6984855S
BigEquityReturns,C0VA906J126C
AnotherFund,LG297DT8081I
EuroBonds,73868Y20YFSX
BigEquityReturns,73868Y20YFSX
BigEquityReturns,VRGZA593F555
YetAnotherFund,Y2392JLJFGQF
AnotherFund,Y2392JLJFGQF
YetAnotherFund,V2492LCTK487
NiceGrowth,V2492LCTK487
NiceGrowth,B33IWMQV07OY
EuroBonds,B33IWMQV07OY
EuroSwaps,T54K772D46O1
QuickCashStrategy,T54K772D46O1
QuickCashStrategy,LC0JIZ311X7R
YetAnotherFund,BR89U8X3MM54
BigEquityReturns,U66X86H8FW8Q
NiceGrowth,I94956H76R74
BigEquityReturns,I94956H76R74
EuroSwaps,1A7LZ6754N6R
EuroSwaps,02W102P7Q83M
AnotherFund,09INX095LD00
YetAnotherFund,09INX095LD00
EuroBonds,11116W030XD3
EuroSwaps,F47888M4J1O6
YetAnotherFund,F47888M4J1O6
YetAnotherFund,29XW4Y10M1XB
EuroBonds,29XW4Y10M1XB
QuickCashStrategy,R00481Y30479
NiceGrowth,EM15508M9H30
EuroBonds,384GJM931276
AnotherFund,20974502YP97
BigEquityReturns,2XS484072IS0
QuickCashStrategy,3BL10UBY8135
QuickCashStrategy,H7598SIBJ538
YetAnotherFund,H7598SIBJ538
NiceGrowth,4U1P6361O42C
YetAnotherFund,4T1IF49TD8Q2
YetAnotherFund,9VM01V523Z8T
YetAnotherFund,94Z2218JVQ4H
NiceGrowth,94Z2218JVQ4H
AnotherFund,R60WJNZ52J35
QuickCashStrategy,T71K60OD5COW
AnotherFund,542I0J9VX114
BigEquityReturns,542I0J9VX114
QuickCashStrategy,0Y4CUP129263
EuroBonds,0Y4CUP129263
QuickCashStrategy,JGJ413721W1R
YetAnotherFund,JGJ413721W1R
EuroBonds,GQQ80P2T6I8T
EuroSwaps,GQQ80P2T6I8T
AnotherFund,05A326Q45O91
BigEquityReturns,05A326Q45O91
QuickCashStrategy,Z254A764JU8O
EuroSwaps,Z254A764JU8O
EuroBonds,CED94L0N52D1
BigEquityReturns,81271V8L0XPD
QuickCashStrategy,4GQ8M1553K24
BigEquityReturns,EGZWE0XM0DM2
NiceGrowth,B48895QTW102
YetAnotherFund,B48895QTW102
YetAnotherFund,C47V478M1J5C
EuroBonds,8J10J5MLBI62
BigEquityReturns,EQD468TER9ZM
EuroSwaps,EQD468TER9ZM
EuroBonds,ZSK712M3E4KO
BigEquityReturns,Q70414469176
EuroBonds,Q70414469176
AnotherFund,7OPKMU4V6024
EuroBonds,15005K871651
AnotherFund,95DSB58I2I50
QuickCashStrategy,95DSB58I2I50
QuickCashStrategy,9E3B99901333
NiceGrowth,9E3B99901333
QuickCashStrategy,206012AJ2303
EuroSwaps,1983I37LCH6H
QuickCashStrategy,1983I37LCH6H
BigEquityReturns,19620HMXN33T
EuroBonds,19620HMXN33T
EuroSwaps,9878487B04O9
EuroSwaps,J97E8UZ62498
QuickCashStrategy,403C747714PI
AnotherFund,403C747714PI
QuickCashStrategy,LTT9058MBSQR
YetAnotherFund,LTT9058MBSQR
NiceGrowth,61T2J1XZ23D7
AnotherFund,D71E1019T34P
EuroBonds,D71E1019T34P
AnotherFund,2091M7L7C6S9
EuroSwaps,01VJQ1411983
QuickCashStrategy,8C139509L869
NiceGrowth,8C139509L869
NiceGrowth,710Y6946W5O6
QuickCashStrategy,710Y6946W5O6
BigEquityReturns,7YZ94020KN64
EuroSwaps,7YZ94020KN64
EuroBonds,L059H00U9014
YetAnotherFund,Z4X72ZJTI70B
QuickCashStrategy,Z4X72ZJTI70B
QuickCashStrategy,2JKOV4JAM4RW
EuroSwaps,2JKOV4JAM4RW
EuroBonds,4W7T127B8377
EuroSwaps,478JAR2VIE73
AnotherFund,478JAR2VIE73
BigEquityReturns,VYKIB21D6M9A
NiceGrowth,H19J8Z02181B
QuickCashStrategy,082UY3MVOY28
EuroBonds,082UY3MVOY28
QuickCashStrategy,IZG5193M53U1
EuroBonds,IZG5193M53U1
BigEquityReturns,2516BU187960
EuroSwaps,Y7P2Z527O809
AnotherFund,Y7P2Z527O809
NiceGrowth,9N4NJ12316EW
YetAnotherFund,G8CH1YK3689S
EuroSwaps,3N25789685UP
QuickCashStrategy,3N25789685UP
NiceGrowth,9515JT974Q10
EuroSwaps,SQB03930A77B
EuroBonds,D99329R1U711
BigEquityReturns,D99329R1U711
BigEquityReturns,JE73836708YB
NiceGrowth,9KPNG9T47TI8
EuroSwaps,9KPNG9T47TI8
QuickCashStrategy,21B12G0W8573
NiceGrowth,21B12G0W8573
EuroSwaps,08ZJ9LH55D6W
QuickCashStrategy,08ZJ9LH55D6W
EuroBonds,709DT587I1T2
BigEquityReturns,9IS9BKP9XN03
EuroBonds,70U14UXWB2I1
NiceGrowth,91I8O33V383R
QuickCashStrategy,91I8O33V383R
EuroBonds,R5V276X8X517
BigEquityReturns,R5V276X8X517
QuickCashStrategy,Y85V7228PAJ5
BigEquityReturns,2BL354558W56
NiceGrowth,98597U31Z7LJ
EuroBonds,98597U31Z7LJ
EuroBonds,AX619AMFVV9M
YetAnotherFund,BZ7E14763GL2
EuroSwaps,38AL8501Y2V8
EuroSwaps,7H655ZR08867
NiceGrowth,7H655ZR08867
NiceGrowth,V0762ZEDJ19Y
AnotherFund,V0762ZEDJ19Y
NiceGrowth,19F0R61BH303
YetAnotherFund,29G76Z1M0R8P
EuroSwaps,29G76Z1M0R8P
EuroSwaps,46R03EB9R99U
NiceGrowth,Z5KS2IS3I452
QuickCashStrategy,Z5KS2IS3I452
BigEquityReturns,80653L9MFY3B
AnotherFund,80653L9MFY3B
QuickCashStrategy,EYX652XW77HJ
EuroBonds,80K4GTL5H001
BigEquityReturns,8372U9K9XJ7Q
NiceGrowth,8372U9K9XJ7Q
EuroSwaps,4154ZVI75422
QuickCashStrategy,268BQ3J74222
EuroSwaps,29D463N186I4
EuroBonds,086I6BZ9TE06
NiceGrowth,14T278OW125N
EuroSwaps,44O201XJBA0Q
EuroSwaps,549WBQ4G5333
QuickCashStrategy,549WBQ4G5333
BigEquityReturns,5W15409817JR
EuroSwaps,5W15409817JR
YetAnotherFund,013AN89CAI34
EuroSwaps,QN72228B29H5
BigEquityReturns,QN72228B29H5
QuickCashStrategy,CG68N5ZE22C2
EuroSwaps,A176UC6593M3
YetAnotherFund,A176UC6593M3
BigEquityReturns,56IWPXGIN88G
AnotherFund,6114ZMQD874X
BigEquityReturns,6114ZMQD874X
EuroBonds,QVH8NEJGKLK1
EuroBonds,0J27W4I016X6
BigEquityReturns,A3F843885Q39
YetAnotherFund,1S186I1C9B3N
EuroSwaps,G33M011X75V2
YetAnotherFund,G33M011X75V2
NiceGrowth,V3YOD52493DZ
EuroSwaps,V3YOD52493DZ
QuickCashStrategy,XGH9FA88V790
EuroSwaps,XGH9FA88V790
NiceGrowth,G4W8HYLG2L9N
AnotherFund,33H121XM75LO
EuroSwaps,33H121XM75LO
EuroBonds,S05F2U9JC701
YetAnotherFund,S05F2U9JC701
EuroSwaps,6.32921E+11
