ISIN;TYPE;TRADE_DATE;MATURITY_DATE;NOTIONAL;FIXED_RATE;ISSUER;COMPANY;COUNTERPARTY;CF_TOTAL;CF_1Y;CF_2Y;CF_3Y;CF_4Y;CF_5Y;CF_10Y;CF_15Y;CF_20Y;CF_25Y;CF_30Y;CF_35Y;CF_40Y
R15162I257F3;EQUITY;17-05-21;;;;;Offcesoft;;;;;;;;;;;;;;
K5800649I110;Swap;05-08-22;15-12-33;30774;2,528310091;;;JPT;427,8824202;4,703347088;4,703347088;4,703347088;4,703347088;4,703347088;4,703347088;399,6623377;0;0;0;0;0
N3857R3SF67M;SWAP;19-07-21;28-10-47;95465;3,33081247;;;KLO;1356,52841;14,59040196;14,59040196;14,59040196;14,59040196;14,59040196;14,59040196;14,59040196;14,59040196;1239,805195;0;0;0
1O45388IS1PK;SWAP;17-09-21;26-03-37;52032;1,361312479;;;EBJ;723,4541525;7,952315452;7,952315452;7,952315452;7,952315452;7,952315452;7,952315452;675,7402597;0;0;0;0;0
8IXV458U349W;CORPORATE_BOND;28-02-21;15-12-41;99308;3,498341584;Firmea;;;1395,958516;15,17774721;15,17774721;15,17774721;15,17774721;15,17774721;15,17774721;15,17774721;1289,714286;0;0;0;0
16TQ033K1S83;Sovereign Bond;30-07-22;11-08-44;70954;3,547972918;Netherlands;;;1008,234608;10,84426104;10,84426104;10,84426104;10,84426104;10,84426104;10,84426104;10,84426104;10,84426104;921,4805195;0;0;0
H15EQ175D0H1;CORPORATE_BOND;27-09-22;03-06-53;77073;3,767377276;Offcesoft;;;1106,963183;11,77945896;11,77945896;11,77945896;11,77945896;11,77945896;11,77945896;11,77945896;11,77945896;11,77945896;1000,948052;0;0
32941ZR68O64;swap;02-11-22;15-12-46;39850;3,68489561;;;SMR;566,2562945;6,090478374;6,090478374;6,090478374;6,090478374;6,090478374;6,090478374;6,090478374;6,090478374;517,5324675;0;0;0
713QQ521AK3I;SOVEREIGN_BOND;14-12-22;14-06-51;47843;2,630001216;France;;;687,1464656;7,312089256;7,312089256;7,312089256;7,312089256;7,312089256;7,312089256;7,312089256;7,312089256;7,312089256;621,3376623;0;0
CM99O969IL1A;SWAP;27-09-21;23-03-25;34771;3,731801106;;;SMR;456,8856575;5,314228947;451,5714286;0;0;0;0;0;0;0;0;0;0
1922Z0O1H764;SOVEREIGN_BOND;07-04-22;26-09-43;26994;3,146509437;Italy;;;383,5764721;4,125630445;4,125630445;4,125630445;4,125630445;4,125630445;4,125630445;4,125630445;4,125630445;350,5714286;0;0;0
HS2YAEH30563;Sovereign Bond;12-07-21;20-07-45;28250;4,788773334;Netherlands;;;401,4238474;4,317591319;4,317591319;4,317591319;4,317591319;4,317591319;4,317591319;4,317591319;4,317591319;366,8831169;0;0;0
9CET94Q42025;swap;23-01-23;14-11-44;50408;3,685541632;;;EBJ;716,2822408;7,704111264;7,704111264;7,704111264;7,704111264;7,704111264;7,704111264;7,704111264;7,704111264;654,6493506;0;0;0
1QE6F300TG84;Swap;30-08-21;03-03-57;65356;2,914191393;;;KLO;948,6661228;9,988690203;9,988690203;9,988690203;9,988690203;9,988690203;9,988690203;9,988690203;9,988690203;9,988690203;9,988690203;848,7792208;0
OP14212JB0UL;CORPORATE_BOND;04-06-23;05-10-48;99137;4,388823489;Companero;;;1423,858018;15,15161241;15,15161241;15,15161241;15,15161241;15,15161241;15,15161241;15,15161241;15,15161241;15,15161241;1287,493506;0;0
XQ8PPI501Y7L;Sovereign Bond;15-12-21;07-04-43;40620;2,843292783;France;;;570,9895973;6,208161394;6,208161394;6,208161394;6,208161394;6,208161394;6,208161394;6,208161394;527,5324675;0;0;0;0
6NPT3K83K7G3;Swap;28-09-21;04-08-47;79943;2,817096615;;;KLO;1135,965545;12,21809567;12,21809567;12,21809567;12,21809567;12,21809567;12,21809567;12,21809567;12,21809567;1038,220779;0;0;0
6YIM0GC35067;DEPOSIT;22-06-22;30-07-23;97831;1,803628936;;;;1270,532468;1270,532468;0;0;0;0;0;0;0;0;0;0;0
78FZJ25E50V7;EQUITY;31-07-21;;;;;Companero;;;;;;;;;;;;;;
OHJ39FCN53J5;Corporate Bond;15-03-21;28-01-60;92484;3,148600811;Firmea;;;1356,573715;14,13480055;14,13480055;14,13480055;14,13480055;14,13480055;14,13480055;14,13480055;14,13480055;14,13480055;14,13480055;14,13480055;1201,090909
6AALF75Q30F4;Corporate Bond;06-07-22;03-05-33;97199;3,769322051;Firmea;;;1336,601765;14,855418;14,855418;14,855418;14,855418;14,855418;1262,324675;0;0;0;0;0;0
WE6NU4P07292;Deposit;31-07-22;23-01-24;55959;1,504547531;;;;726,7402597;726,7402597;0;0;0;0;0;0;0;0;0;0;0
52P59P93L3DV;SOVEREIGN_BOND;05-04-22;23-01-51;65218;1,650275931;Netherlands;;;936,6954036;9,967598961;9,967598961;9,967598961;9,967598961;9,967598961;9,967598961;9,967598961;9,967598961;9,967598961;846,987013;0;0
G6C6Q8YG6L56;SOVEREIGN_BOND;31-10-20;23-08-48;89909;4,740624672;France;;;1291,320602;13,74125019;13,74125019;13,74125019;13,74125019;13,74125019;13,74125019;13,74125019;13,74125019;13,74125019;1167,649351;0;0
120FNP45MB17;EQUITY;09-01-22;;;;;Firmea;;;;;;;;;;;;;;
6464895663C5;Corporate Bond;12-11-20;26-05-32;68380;2,457828223;Offcesoft;;;940,3062656;10,45086352;10,45086352;10,45086352;10,45086352;10,45086352;888,0519481;0;0;0;0;0;0
53017M08A8JO;Sovereign Bond;12-12-21;29-10-31;27247;3,672839039;Italy;;;374,6786315;4,164297723;4,164297723;4,164297723;4,164297723;4,164297723;353,8571429;0;0;0;0;0;0
Y0X33567584X;Equity;30-12-21;;;;;Companero;;;;;;;;;;;;;;
5031UO5GYJ91;CORPORATE_BOND;30-03-21;25-02-62;16664;1,662995285;Firmea;;;244,4308679;2,546843955;2,546843955;2,546843955;2,546843955;2,546843955;2,546843955;2,546843955;2,546843955;2,546843955;2,546843955;2,546843955;216,4155844
HA6672D714P6;SWAP;11-07-21;16-02-36;90616;3,647932375;;;SMR;1259,926996;13,8493046;13,8493046;13,8493046;13,8493046;13,8493046;13,8493046;1176,831169;0;0;0;0;0
4178RTPB84YZ;EQUITY;21-04-22;;;;;Offcesoft;;;;;;;;;;;;;;
AB9480OK5A6S;SWAP;16-06-21;11-02-53;58128;1,925664544;;;EBJ;834,8650744;8,883998166;8,883998166;8,883998166;8,883998166;8,883998166;8,883998166;8,883998166;8,883998166;8,883998166;754,9090909;0;0
55ZV7TITZ8Z1;SOVEREIGN_BOND;02-11-21;03-03-28;29536;3,230569789;France;;;401,6409646;4,514137246;4,514137246;4,514137246;4,514137246;383,5844156;0;0;0;0;0;0;0
1LGAO96QNT88;Equity;11-08-21;;;;;Firmea;;;;;;;;;;;;;;
R91868X08QY9;Corporate Bond;10-04-23;11-05-52;77600;3,987804141;Firmea;;;1114,532235;11,86000306;11,86000306;11,86000306;11,86000306;11,86000306;11,86000306;11,86000306;11,86000306;11,86000306;1007,792208;0;0
35293H783CU3;Deposit;15-12-20;29-09-23;60187;3,989698638;;;;781,6493506;781,6493506;0;0;0;0;0;0;0;0;0;0;0
Q8X2H4T06B1H;CORPORATE_BOND;14-04-22;02-05-26;56520;1,676421692;Corporata;;;751,3024527;8,63823934;8,63823934;734,025974;0;0;0;0;0;0;0;0;0
319S16290MK4;Corporate Bond;02-11-21;02-05-31;47268;3,686704299;Corporata;;;649,9911753;7,224209078;7,224209078;7,224209078;7,224209078;7,224209078;613,8701299;0;0;0;0;0;0
3WIPRE599E57;SOVEREIGN_BOND;23-07-21;26-07-45;78993;1,292393485;France;;;1122,466336;12,07290234;12,07290234;12,07290234;12,07290234;12,07290234;12,07290234;12,07290234;12,07290234;1025,883117;0;0;0
A0P492YNF6O9;SOVEREIGN_BOND;25-01-23;05-02-43;48298;3,414128441;Italy;;;678,9181578;7,381629222;7,381629222;7,381629222;7,381629222;7,381629222;7,381629222;7,381629222;627,2467532;0;0;0;0
W20MF0GB7029;SOVEREIGN_BOND;12-01-23;28-08-28;90712;1,068823469;Italy;;;1247,397806;13,86397677;13,86397677;13,86397677;13,86397677;13,86397677;1178,077922;0;0;0;0;0;0
7422Y968791X;Deposit;13-10-22;20-08-23;34394;4,102038438;;;;446,6753247;446,6753247;0;0;0;0;0;0;0;0;0;0;0
M58766V15GJS;SWAP;23-09-21;22-04-63;33029;5,111803193;;;EBJ;484,4759444;5,047990219;5,047990219;5,047990219;5,047990219;5,047990219;5,047990219;5,047990219;5,047990219;5,047990219;5,047990219;5,047990219;428,9480519
09281N07232Z;Corporate Bond;28-03-22;09-07-33;53463;3,876007207;Offcesoft;;;735,1797877;8,171022467;8,171022467;8,171022467;8,171022467;8,171022467;694,3246753;0;0;0;0;0;0
66214L4H68R9;CORPORATE_BOND;13-12-21;11-12-47;60017;0,560324171;Firmea;;;852,8231877;9,172703653;9,172703653;9,172703653;9,172703653;9,172703653;9,172703653;9,172703653;9,172703653;779,4415584;0;0;0
9R9Q39RVNZ95;swap;23-04-23;28-09-24;21738;5,202560966;;;CPL;285,6340175;3,322329207;282,3116883;0;0;0;0;0;0;0;0;0;0
0Z96D7KE481D;swap;10-04-22;04-12-39;91271;4,547374025;;;KLO;1282,983543;13,94941158;13,94941158;13,94941158;13,94941158;13,94941158;13,94941158;13,94941158;1185,337662;0;0;0;0
